Occupation,Career_Cluster,Career_Pathway,Top_10_Skills
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Manufacturing,Production,"quality control_19,machine operation_18,communication_12,troubleshooting_10,teamwork_10,manufacturing_10,high school diploma_9,forklift operation_8,safety_8,attention to detail_7"
"Sawing Machine Setters, Operators, and Tenders, Wood",Manufacturing,Production,"safety procedures_3,forklift operation_3,vision insurance_3,dental insurance_3,drilling_2,attention to detail_2,manufacturing_2,chainsaw operation_2,manual dexterity_2,quality control_2"
Semiconductor Processing Technicians,Manufacturing,Production,"troubleshooting_21,communication_15,teamwork_13,manufacturing_12,attention to detail_10,maintenance_9,quality control_8,high school diploma or ged_6,safety procedures_6,problemsolving_6"
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Manufacturing,Production,"troubleshooting_18,communication_16,teamwork_16,maintenance_11,safety procedures_10,high school diploma_8,quality control_7,microsoft office_7,basic computer skills_7,problemsolving_7"
"Sewers, Hand",Manufacturing,Production,"communication_14,attention to detail_8,problem solving_7,collaboration_7,quality control_7,design_7,adobe creative suite_5,project management_5,sewing machine operation_5,quality standards_5"
Sewing Machine Operators,Manufacturing,Production,"quality control_24,machine operation_19,attention to detail_11,troubleshooting_11,teamwork_11,communication_11,manufacturing_11,high school diploma_9,material handling_9,forklift operation_8"
Shoe and Leather Workers and Repairers,Manufacturing,Production,"sewing machine operation_5,quality standards_5,production reporting_4,quality control_3,efficiency_3,productivity levels_3,planning specifications_3,safety standards_3,primary education (desirable)_3,machine maintenance_3"
Shoe Machine Operators and Tenders,Manufacturing,Production,"quality control_19,machine operation_18,teamwork_14,communication_13,customer service_11,attention to detail_10,troubleshooting_10,manufacturing_10,high school diploma_9,forklift operation_8"
Slaughterers and Meat Packers,Manufacturing,Production,"customer service_75,meat cutting_60,food safety_60,teamwork_39,sanitation_35,communication_32,butchering_27,food preparation_27,attention to detail_24,meat preparation_24"
"Stone Cutters and Carvers, Manufacturing",Manufacturing,Production,"polishing_2,teamwork_2,attention to detail_2,sandblasting_1,marine painting_1,sspc sp10_1,sspc sp6_1,sspc sp7_1,safety controls_1,environmental controls_1"
Team Assemblers,Manufacturing,Production,"assembly_53,hand tools_46,quality control_42,manufacturing_40,teamwork_39,troubleshooting_37,attention to detail_33,communication_31,high school diploma_28,quality assurance_21"
Textile Bleaching and Dyeing Machine Operators and Tenders,Manufacturing,Production,"volunteer management_3,scheduling_3,attention to detail_3,data entry_2,communication skills_2,organizational skills_2,teamwork_2,organization_2,fundraising_2,supervision_2"
"Textile Cutting Machine Setters, Operators, and Tenders",Manufacturing,Production,"erp system_2,cannabis trimming_1,packaging_1,quality control_1,regulatory compliance_1,cleaning_1,safety_1,mathematical skills_1,reasoning ability_1,nevada state agent card_1"
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Manufacturing,Production,"quality control_25,machine operation_20,troubleshooting_15,teamwork_15,communication_12,high school diploma_10,forklift operation_10,manufacturing_10,high school diploma or ged_9,attention to detail_8"
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Manufacturing,Production,"knowledge of company values and strategic plan_2,experience with construction equipment_2,high school diploma or equivalent_2,high school diploma_1,college degree (optional)_1,reading comprehension_1,attention to detail_1,ability to follow instructions_1,communication skills_1,interpersonal skills_1"
"Textile, Apparel, and Furnishings Workers, All Other",Manufacturing,Production,"communication_18,troubleshooting_10,problem solving_9,teamwork_9,design_7,quality control_6,communication skills_6,microsoft office_6,collaboration_6,attention to detail_6"
Timing Device Assemblers and Adjusters,Manufacturing,Production,"hand tools_31,assembly_27,quality control_18,manual dexterity_17,teamwork_16,communication_15,manufacturing_15,troubleshooting_15,attention to detail_15,quality standards_14"
Tire Builders,Manufacturing,Production,"injection molding_14,troubleshooting_12,teamwork_7,attention to detail_5,communication_5,injection molding machines_4,equipment maintenance_4,quality control_4,problemsolving_3,mold changes_3"
Tool and Die Makers,Manufacturing,Production,"tool and die making_4,micrometers_4,high school diploma_3,specifications_3,precision machining_3,attention to detail_3,manufacturing_3,problem solving_3,autocad_3,blueprint reading_3"
"Tool Grinders, Filers, and Sharpeners",Manufacturing,Production,"hand tools_5,blueprints_5,quality control_5,teamwork_4,cnc grinding_3,mathematical calculations_3,blueprint reading_3,attention to detail_3,internal grinding machines_2,process sheets_2"
Upholsterers,Manufacturing,Production,"cannabis trimming_1,packaging_1,quality control_1,regulatory compliance_1,cleaning_1,safety_1,mathematical skills_1,reasoning ability_1,nevada state agent card_1,physical demands_1"
"Welders, Cutters, Solderers, and Brazers",Manufacturing,Production,"welding_46,tig welding_35,mig welding_33,teamwork_32,communication_29,quality control_26,attention to detail_22,high school diploma_21,machine operation_20,blueprints_18"
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Manufacturing,Production,"quality control_26,manufacturing_26,troubleshooting_25,teamwork_22,machine operation_19,communication_18,communication skills_15,attention to detail_14,high school diploma_14,sops_13"
"Woodworkers, All Other",Manufacturing,Production,"patternmaking_1,draping_1,alterations_1,fittings_1,factory pattern review_1,fit sessions_1,fashion design_1,clothing construction_1,sample development_1,sewing_1"
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Manufacturing,Production,"machine operation_19,quality control_19,teamwork_13,troubleshooting_11,high school diploma_10,attention to detail_10,manufacturing_10,communication_9,forklift operation_9,safety_8"
"Inspectors, Testers, Sorters, Samplers, and Weighers",Manufacturing,Quality Assurance,"quality inspection_364,attention to detail_347,quality control_344,communication_341,inspection_321,quality assurance_312,calipers_294,communication skills_291,teamwork_260,problem solving_194"
"Production, Planning, and Expediting Clerks",Manufacturing,Quality Assurance,"production planning_273,inventory management_270,communication_232,scheduling_166,problem solving_151,attention to detail_145,teamwork_138,communication skills_131,supply chain management_122,data analysis_119"
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Manufacturing,Quality Assurance,"quality inspection_344,calipers_263,inspection_257,quality control_242,quality assurance_214,attention to detail_200,communication_177,micrometers_166,manufacturing_161,communication skills_147"
Public Relations Specialists,Marketing,Marketing Communications,"project management_95,marketing_86,communication_62,time management_58,public relations_55,writing_52,teamwork_51,communications_50,attention to detail_49,collaboration_48"
Advertising and Promotions Managers,Marketing,Marketing Management,"sales_2167,communication_1709,account management_1441,time management_1073,business development_973,communication skills_886,negotiation_838,problem solving_812,customer service_804,teamwork_800"
Fundraising Managers,Marketing,Marketing Management,"account management_564,communication_548,sales_526,customer service_453,time management_315,business development_278,problem solving_268,leadership_246,teamwork_243,communication skills_235"
Marketing Managers,Marketing,Marketing Management,"communication_842,business development_796,sales_703,project management_696,marketing_607,data analysis_454,communication skills_417,digital marketing_414,time management_402,teamwork_382"
"Property, Real Estate, and Community Association Managers",Marketing,Marketing Management,"customer service_1150,communication_1039,property management_833,leadership_673,sales_554,time management_521,problem solving_465,microsoft office suite_459,budgeting_458,communication skills_452"
Public Relations Managers,Marketing,Marketing Management,"customer service_427,communication_338,leadership_265,time management_182,problem solving_179,marketing_175,project management_163,attention to detail_153,property management_138,teamwork_137"
Sales Managers,Marketing,Marketing Management,"sales_2831,communication_2499,customer service_2059,business development_1818,account management_1463,time management_1185,communication skills_1181,leadership_1125,problem solving_1114,negotiation_1098"
Market Research Analysts and Marketing Specialists,Marketing,Marketing Research,"customer service_293,business development_290,communication_272,adaptability_255,remote work_253,integrity_241,selfdiscipline_210,interpersonal skills_208,sales_205,communication skills_189"
Merchandise Displayers and Window Trimmers,Marketing,Merchandising,"customer service_213,communication_182,sales_169,high school diploma or ged_139,attention to detail_113,teamwork_99,product knowledge_98,driver's license_87,problemsolving_84,inventory control_79"
Models,Marketing,Merchandising,"campus crime and safety awareness_2,life drawing_1,life painting_1,life sculpture_1,undraped modeling_1,draped modeling_1,modeling experience_1,flexible hours_1,daytime hours_1,evening hours_1"
"Wholesale and Retail Buyers, Except Farm Products",Marketing,Merchandising,"negotiation_430,communication_417,purchasing_362,procurement_347,inventory management_333,supply chain management_308,data analysis_208,communication skills_193,analytical skills_189,problem solving_188"
Advertising Sales Agents,Marketing,Professional Sales,"sales_1480,customer service_1190,communication_1043,teamwork_537,time management_497,communication skills_425,negotiation_387,product knowledge_375,problem solving_325,attention to detail_278"
Cashiers,Marketing,Professional Sales,"customer service_1690,communication_970,teamwork_866,time management_747,attention to detail_644,sales_621,accuracy_600,multitasking_479,anniversary pay_471,food safety_409"
Counter and Rental Clerks,Marketing,Professional Sales,"customer service_619,communication_434,sales_389,leasing_307,teamwork_214,attention to detail_203,high school diploma or ged_177,marketing_161,property management_159,problemsolving_149"
Demonstrators and Product Promoters,Marketing,Professional Sales,"customer service_47,communication_36,sales_32,attention to detail_28,communication skills_25,problem solving_22,time management_22,teamwork_20,presentation skills_15,microsoft office suite_15"
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Marketing,Professional Sales,"sales_204,customer service_123,communication_108,communication skills_55,negotiation_55,time management_53,product knowledge_50,account management_48,problem solving_42,teamwork_41"
Driver/Sales Workers,Marketing,Professional Sales,"customer service_14,driving_11,communication_9,valid driver's license_8,attention to detail_7,time management_7,high school diploma_6,vehicle maintenance_6,clean driving record_5,organizational skills_5"
First-Line Supervisors of Non-Retail Sales Workers,Marketing,Professional Sales,"customer service_748,communication_532,leadership_489,teamwork_269,training_203,retail experience_197,inventory management_195,high school diploma_194,problemsolving_189,sales_175"
First-Line Supervisors of Retail Sales Workers,Marketing,Professional Sales,"customer service_12616,leadership_9675,training_9115,inventory management_8292,communication_7879,scheduling_6582,food safety_6454,merchandising_3940,teamwork_3732,retail management_3511"
Parts Salespersons,Marketing,Professional Sales,"customer service_316,sales_136,communication_132,communication skills_128,teamwork_103,inventory management_95,parts advisor_93,attention to detail_79,organization_74,time management_64"
Real Estate Brokers,Marketing,Professional Sales,"customer service_41,communication_36,communication skills_28,attention to detail_26,teamwork_23,time management_19,high school diploma_18,problem solving_15,contract management_15,interpersonal skills_15"
Real Estate Sales Agents,Marketing,Professional Sales,"customer service_1483,sales_1429,communication_1089,teamwork_578,time management_462,communication skills_412,leasing_395,attention to detail_346,product knowledge_307,problem solving_302"
Retail Salespersons,Marketing,Professional Sales,"customer service_3522,sales_2501,communication_2484,teamwork_1793,cash handling_988,attention to detail_972,merchandising_952,problemsolving_945,communication skills_884,time management_873"
"Sales and Related Workers, All Other",Marketing,Professional Sales,"sales_316,customer service_271,communication_267,counseling_205,communication skills_172,teamwork_150,time management_148,microsoft office suite_126,territory management_124,problem solving_121"
Sales Engineers,Marketing,Professional Sales,"sales_536,communication_388,customer service_326,time management_210,communication skills_177,negotiation_165,customer relationship management_163,problem solving_159,teamwork_142,prospecting_139"
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Marketing,Professional Sales,"sales_1538,customer service_1490,communication_1225,teamwork_640,time management_578,communication skills_507,problem solving_397,product knowledge_394,negotiation_381,problemsolving_361"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Marketing,Professional Sales,"sales_1388,customer service_1178,communication_1015,teamwork_543,time management_484,communication skills_408,negotiation_365,product knowledge_342,problem solving_298,attention to detail_280"
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Marketing,Professional Sales,"sales_1563,customer service_1216,communication_1088,teamwork_551,time management_512,communication skills_459,negotiation_408,product knowledge_384,problem solving_346,attention to detail_283"
Solar Sales Representatives and Assessors,Marketing,Professional Sales,"sales_1672,customer service_1550,communication_1113,teamwork_678,multitasking_508,product knowledge_463,time management_433,communication skills_413,tuition reimbursement_360,life insurance_359"
Telemarketers,Marketing,Professional Sales,"communication_11,time management_10,teamwork_9,legal research_9,organization_8,litigation_7,customer service_7,attention to detail_7,employment law_6,solicitor_6"
Aerospace Engineers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"troubleshooting_186,project management_159,communication_159,mechanical engineering_141,communication skills_122,teamwork_117,electrical engineering_113,problem solving_99,engineering_89,autocad_82"
Architectural and Engineering Managers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"project management_1468,communication_713,leadership_431,scheduling_375,problem solving_358,budgeting_324,risk management_309,communication skills_307,engineering_288,time management_288"
Automotive Engineers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"project management_439,communication_265,problem solving_223,quality assurance_199,engineering_186,quality control_179,mechanical engineering_178,communication skills_169,teamwork_167,root cause analysis_165"
Biofuels/Biodiesel Technology and Product Development Managers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"laboratory management_25,communication skills_20,lab management_17,maintenance_14,communication_13,problem solving_13,sanitation_12,calibration_12,sap_11,haccp_11"
Chemical Engineers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"project management_623,communication_324,mechanical engineering_274,troubleshooting_255,problem solving_254,communication skills_242,teamwork_219,autocad_218,chemical engineering_218,process engineering_197"
Computer Hardware Engineers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"project management_464,communication_252,mechanical engineering_192,autocad_184,problem solving_170,civil engineering_170,communication skills_162,engineering_158,teamwork_149,project engineering_142"
Electrical Engineers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"electrical engineering_883,project management_805,autocad_528,troubleshooting_442,communication_440,communication skills_311,problem solving_277,teamwork_270,mechanical engineering_259,plc programming_243"
"Electronics Engineers, Except Computer","Science, Technology, Engineering & Mathematics",Engineering and Technology,"project management_135,mechanical engineering_125,electrical engineering_111,troubleshooting_104,communication_90,communication skills_86,autocad_73,engineering_72,teamwork_69,problem solving_69"
"Energy Engineers, Except Wind and Solar","Science, Technology, Engineering & Mathematics",Engineering and Technology,"engineering_27,project management_25,autocad_19,mechanical engineering_19,problem solving_18,fluid flow_14,ms excel_13,ms project_13,ms word_12,ms power point_12"
"Engineers, All Other","Science, Technology, Engineering & Mathematics",Engineering and Technology,"mechanical engineering_168,communication_152,project management_138,communication skills_93,teamwork_91,autocad_86,problem solving_82,troubleshooting_78,engineering_77,analytical skills_75"
Fire-Prevention and Protection Engineers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"engineering_25,autocad_19,problem solving_17,project management_17,fluid flow_14,ms project_13,mechanical engineering_13,ms excel_12,ms word_12,ms power point_12"
Fuel Cell Engineers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"engineering_26,problem solving_17,autocad_15,fluid flow_15,ms excel_12,ms project_12,ms word_12,ms power point_12,production bottlenecks_12,project management_12"
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Science, Technology, Engineering & Mathematics",Engineering and Technology,"communication_75,siem_67,pki_61,virtualization_61,network microsegmentation_59,hipaa_59,application control_58,nist_57,communication skills_56,incident response_56"
Human Factors Engineers and Ergonomists,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"project management_4,problem solving_3,analytical skills_3,risk assessment_3,human factors engineering_2,adobe creative suite_2,ux design_2,prototyping_2,communication_2,attention to detail_2"
Industrial Engineers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"project management_664,communication_433,problem solving_353,mechanical engineering_310,communication skills_298,teamwork_293,engineering_264,data analysis_251,quality assurance_245,autocad_231"
Manufacturing Engineers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"project management_336,manufacturing engineering_310,mechanical engineering_291,troubleshooting_260,lean manufacturing_212,process engineering_187,problem solving_184,continuous improvement_181,manufacturing_175,communication_172"
Marine Engineers and Naval Architects,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"project management_496,autocad_288,structural engineering_262,communication_255,civil engineering_243,communication skills_192,problem solving_171,teamwork_162,project engineering_141,engineering_139"
Materials Engineers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"project management_444,communication_241,mechanical engineering_189,autocad_158,problem solving_157,engineering_155,communication skills_145,project engineering_142,civil engineering_136,teamwork_131"
Mechanical Engineers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"mechanical engineering_874,project management_834,communication_529,communication skills_404,autocad_394,troubleshooting_389,problem solving_372,teamwork_370,solidworks_289,engineering_264"
Mechatronics Engineers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"project management_436,communication_227,mechanical engineering_166,problem solving_165,communication skills_158,troubleshooting_157,engineering_149,electrical engineering_149,project engineering_142,autocad_139"
Microsystems Engineers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"project management_585,communication_327,mechanical engineering_288,problem solving_243,communication skills_238,troubleshooting_227,teamwork_215,autocad_208,engineering_197,process engineering_177"
"Mining and Geological Engineers, Including Mining Safety Engineers","Science, Technology, Engineering & Mathematics",Engineering and Technology,"project management_391,communication_213,civil engineering_153,project engineering_143,problem solving_133,autocad_131,engineering_130,scheduling_121,teamwork_110,mechanical engineering_109"
Nanosystems Engineers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"data analysis_10,chemical engineering_7,process development_6,project management_6,communication skills_6,communication_6,collaboration_5,troubleshooting_5,problem solving_5,process engineering_5"
Nuclear Engineers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"systems engineering_101,project management_48,troubleshooting_47,engineering_39,electrical engineering_38,communication skills_37,communication_33,problem solving_31,computer science_29,teamwork_28"
Petroleum Engineers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"project management_84,mechanical engineering_82,communication_69,engineering_56,autocad_50,communication skills_49,problem solving_48,teamwork_46,troubleshooting_46,solidworks_43"
Photonics Engineers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"data analysis_10,python_9,matlab_8,physics_8,optics_7,optical engineering_6,communication skills_6,zemax_6,communication_6,machine learning_5"
Radio Frequency Identification Device Specialists,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"troubleshooting_15,electrical engineering_13,technical support_9,rf engineering_9,communication_8,communication skills_8,project management_7,networking_7,analytical skills_6,customer service_6"
Robotics Engineers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"project management_76,mechanical engineering_74,communication_57,communication skills_47,troubleshooting_46,automation_45,solidworks_45,electrical engineering_44,autocad_43,cad_37"
Solar Energy Systems Engineers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"project management_367,communication_178,project engineering_141,civil engineering_127,autocad_125,problem solving_124,engineering_123,mechanical engineering_110,scheduling_110,communication skills_103"
Validation Engineers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"root cause analysis_247,communication_243,mechanical engineering_228,quality assurance_227,project management_223,problem solving_213,data analysis_210,communication skills_194,six sigma_192,teamwork_183"
Wind Energy Engineers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"project management_360,communication_170,project engineering_147,civil engineering_130,autocad_122,problem solving_118,engineering_115,scheduling_110,mechanical engineering_108,communication skills_93"
Anthropologists and Archeologists,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"history_31,anthropology_31,archaeology_25,project management_25,archeology_21,scientific writing_21,surveying_20,cultural geography_19,archeological field school_17,ethnology_17"
Astronomers,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_132,molecular biology_65,communication_53,chemistry_49,teamwork_45,project management_44,problem solving_44,elisa_43,research_43,communication skills_42"
Atmospheric and Space Scientists,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"meteorology_2,atmospheric science_1,numerical weather prediction models_1,cloud physics_1,nucleation processes_1,data assimilation_1,python_1,matlab_1,ncl_1,grads_1"
Biochemists and Biophysicists,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"chemistry_141,data analysis_100,hematology_86,quality control_85,troubleshooting_78,urinalysis_77,microbiology_75,communication_56,immunology_54,clinical laboratory scientist_53"
Bioinformatics Scientists,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_290,communication_120,python_119,sql_112,project management_88,data visualization_87,teamwork_85,molecular biology_83,communication skills_83,r_82"
"Biological Scientists, All Other","Science, Technology, Engineering & Mathematics",Science and Mathematics,"haematology_10,blood transfusion_9,hcpc registration_9,icsi_9,communication_9,teamwork_8,embryology_8,biology_8,communication skills_7,attention to detail_7"
Biostatisticians,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_97,r_46,collaboration_41,biostatistics_39,python_37,research_36,communication_36,sas_35,statistical analysis_35,statistics_34"
Cartographers and Photogrammetrists,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"imagery analysis_4,iec_2,nes_2,qgis_2,cartography_2,knowledge management_2,geoint_1,electronic light tables (elts)_1,geospatial intelligence_1,data fusion_1"
Chemists,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"chemistry_274,data analysis_227,hplc_152,analytical chemistry_126,communication_122,teamwork_113,troubleshooting_112,problem solving_92,gc_85,communication skills_80"
Climate Change Policy Analysts,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"communication_8,research_7,policy development_6,project management_6,public policy_6,organizational skills_5,data analysis_5,time management_5,policy analysis_5,public administration_4"
Clinical Data Managers,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_14,attention to detail_10,data management_9,data visualization_8,communication_7,teamwork_6,collaboration_6,reporting_6,communication skills_6,statistical analysis_6"
Computer and Information Research Scientists,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_157,python_101,machine learning_85,communication_67,molecular biology_66,problem solving_55,communication skills_53,research_52,chemistry_52,collaboration_51"
Conservation Scientists,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"project management_32,environmental science_31,environmental planning_30,communication_29,technical writing_26,permitting_25,communication skills_24,wetland delineation_24,data analysis_21,gis_21"
Data Scientists,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_381,python_370,sql_349,data visualization_215,machine learning_214,communication_171,data modeling_154,data science_153,tableau_138,r_138"
Economists,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_91,communication_41,research_39,teamwork_33,communication skills_30,project management_27,analytical skills_25,attention to detail_25,statistics_24,economics_23"
Environmental Restoration Planners,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"environmental planning_29,permitting_18,technical writing_16,project management_15,ms office suite_14,communication_12,attention to detail_11,environmental science_11,environmental assessment_10,environmental studies_9"
"Environmental Scientists and Specialists, Including Health","Science, Technology, Engineering & Mathematics",Science and Mathematics,"environmental science_156,project management_94,geology_72,data analysis_62,report writing_56,teamwork_53,communication_52,technical writing_49,communication skills_49,environmental engineering_44"
Geneticists,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_134,molecular biology_66,communication_57,research_50,chemistry_49,teamwork_47,project management_45,collaboration_44,problem solving_44,communication skills_44"
Geographers,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_66,molecular biology_41,chemistry_37,elisa_34,troubleshooting_30,communication_29,teamwork_27,project management_25,biochemistry_25,communication skills_25"
"Geoscientists, Except Hydrologists and Geographers","Science, Technology, Engineering & Mathematics",Science and Mathematics,"hydrogeology_65,geology_65,data analysis_49,geotechnical engineering_42,project management_39,engineering geology_36,report writing_33,communication_29,gis_29,data collection_29"
Historians,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_26,research_24,time management_12,communication_12,teamwork_11,communication skills_11,attention to detail_9,organizational skills_8,molecular biology_7,project management_7"
Hydrologists,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_95,communication_51,hydrogeology_50,project management_50,teamwork_50,communication skills_42,molecular biology_41,chemistry_39,time management_36,elisa_34"
Industrial Ecologists,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_74,research_44,collaboration_35,communication_28,problem solving_28,communication skills_27,project management_27,molecular biology_24,python_23,teamwork_22"
"Life Scientists, All Other","Science, Technology, Engineering & Mathematics",Science and Mathematics,"icsi_9,embryology_8,embryo transfer_6,ivf_5,clinical embryology_5,semen analysis_5,biopsy_4,communication_4,patient care_4,attention to detail_4"
"Life, Physical, and Social Science Technicians, All Other","Science, Technology, Engineering & Mathematics",Science and Mathematics,"communication skills_26,teamwork_24,data analysis_18,troubleshooting_17,attention to detail_17,chemistry_16,laboratory technician_16,inventory management_13,communication_13,microsoft office_13"
Materials Scientists,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_138,molecular biology_65,communication_59,teamwork_49,chemistry_49,project management_47,problem solving_46,elisa_43,research_43,communication skills_43"
"Mathematical Science Occupations, All Other","Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_56,communication_24,research_22,teamwork_20,statistics_19,attention to detail_17,analytical skills_16,excel_16,data visualization_15,communication skills_15"
Mathematicians,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_73,research_44,collaboration_35,python_32,problem solving_27,communication_26,molecular biology_24,teamwork_23,communication skills_22,project management_21"
Microbiologists,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"microbiology_146,chemistry_104,quality control_95,hematology_85,urinalysis_77,troubleshooting_66,clinical laboratory scientist_53,quality assurance_47,blood bank_45,data analysis_43"
Molecular and Cellular Biologists,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_75,molecular biology_42,research_38,collaboration_36,communication_32,problem solving_28,communication skills_24,python_23,teamwork_22,project management_22"
Park Naturalists,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"communication_2,maintenance_1,construction_1,landscaping_1,groundskeeping_1,horticulture_1,forestry_1,park management_1,recreation management_1,environmental resources_1"
"Physical Scientists, All Other","Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_72,research_40,collaboration_32,communication_29,problem solving_28,python_25,molecular biology_24,project management_22,teamwork_21,machine learning_17"
Physicists,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_144,communication_69,molecular biology_65,medical physics_65,communication skills_60,teamwork_59,chemistry_54,problem solving_53,research_51,project management_47"
Political Scientists,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"policy development_12,communication_11,research_10,data analysis_10,policy analysis_9,project management_8,analysis_6,time management_6,public policy_6,communication skills_6"
Precision Agriculture Technicians,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"sales_10,agronomy_9,agriculture_9,customer service_7,precision agriculture_7,data analysis_6,communication_6,sales experience_5,microsoft office_5,problem solving_5"
Quality Control Analysts,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"quality assurance_76,quality control_60,communication_55,data analysis_50,attention to detail_47,communication skills_44,teamwork_36,documentation_31,problem solving_30,gmp_29"
Range Managers,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"sales_263,communication_167,customer service_162,territory management_121,communication skills_102,microsoft office suite_101,prospecting_99,time management_92,account management_84,analytical skills_77"
Remote Sensing Scientists and Technologists,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_132,molecular biology_65,communication_53,chemistry_49,teamwork_47,project management_45,problem solving_44,communication skills_44,elisa_43,research_43"
Remote Sensing Technicians,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_19,research_12,teamwork_9,communication_9,communication skills_9,organizational skills_8,molecular biology_7,time management_7,cell culture_6,elisa_6"
Social Science Research Assistants,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_211,sql_95,communication_91,data visualization_84,python_78,r_59,communication skills_57,research_57,project management_56,problem solving_55"
"Social Scientists and Related Workers, All Other","Science, Technology, Engineering & Mathematics",Science and Mathematics,"psychotherapy_45,counseling_24,social work_18,crisis intervention_17,psychology_15,mental health_13,documentation_12,family therapy_12,interpersonal skills_11,treatment planning_11"
Sociologists,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_118,research_67,communication_61,project management_41,collaboration_40,teamwork_39,molecular biology_39,communication skills_35,python_32,data collection_32"
Statisticians,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_300,sql_206,python_183,data visualization_123,communication_121,data engineering_89,communication skills_84,tableau_83,project management_80,problem solving_79"
